l, theta,range_max
2.481,0.214757,5.6
2.454,0.220893,5.6
2.436,0.227029,5.6
2.411,0.233165,5.6
2.4,0.239301,5.6
2.393,0.245437,5.6
2.358,0.251573,5.6
2.338,0.257709,5.6
2.33,0.263845,5.6
2.301,0.269981,5.6
2.298,0.276117,5.6
2.27,0.282253,5.6
2.269,0.288388,5.6
2.235,0.294524,5.6
2.229,0.30066,5.6
2.224,0.306796,5.6
2.2,0.312932,5.6
2.184,0.319068,5.6
2.166,0.325204,5.6
2.145,0.33134,5.6
2.145,0.337476,5.6
2.144,0.343612,5.6
2.105,0.349748,5.6
2.091,0.355884,5.6
2.091,0.36202,5.6
2.069,0.368155,5.6
2.056,0.374291,5.6
2.045,0.380427,5.6
2.032,0.386563,5.6
2.022,0.392699,5.6
2.011,0.398835,5.6
2.005,0.404971,5.6
1.987,0.411107,5.6
1.986,0.417243,5.6
1.966,0.423379,5.6
1.953,0.429515,5.6
1.949,0.435651,5.6
1.943,0.441787,5.6
1.926,0.447922,5.6
1.907,0.454058,5.6
1.906,0.460194,5.6
1.887,0.46633,5.6
1.886,0.472466,5.6
1.885,0.478602,5.6
1.873,0.484738,5.6
1.863,0.490874,5.6
1.856,0.49701,5.6
1.848,0.503146,5.6
1.841,0.509282,5.6
1.835,0.515418,5.6
1.823,0.521554,5.6
1.814,0.527689,5.6
1.795,0.533825,5.6
1.795,0.539961,5.6
1.788,0.546097,5.6
1.783,0.552233,5.6
1.768,0.558369,5.6
1.767,0.564505,5.6
1.756,0.570641,5.6
1.751,0.576777,5.6
1.739,0.582913,5.6
1.737,0.589049,5.6
1.733,0.595185,5.6
1.725,0.601321,5.6
1.717,0.607456,5.6
1.714,0.613592,5.6
1.706,0.619728,5.6
1.696,0.625864,5.6
1.689,0.632,5.6
1.684,0.638136,5.6
1.683,0.644272,5.6
1.67,0.650408,5.6
1.67,0.656544,5.6
1.664,0.66268,5.6
1.659,0.668816,5.6
1.651,0.674952,5.6
1.646,0.681087,5.6
1.64,0.687223,5.6
1.638,0.693359,5.6
1.638,0.699495,5.6
1.633,0.705631,5.6
1.625,0.711767,5.6
1.619,0.717903,5.6
1.611,0.724039,5.6
1.603,0.730175,5.6
1.602,0.736311,5.6
1.598,0.742447,5.6
1.597,0.748583,5.6
1.596,0.754719,5.6
1.587,0.760854,5.6
1.595,0.76699,5.6
1.587,0.773126,5.6
1.575,0.779262,5.6
1.57,0.785398,5.6
1.571,0.791534,5.6
1.566,0.79767,5.6
1.566,0.803806,5.6
1.566,0.809942,5.6
1.566,0.816078,5.6
1.553,0.822214,5.6
1.553,0.82835,5.6
1.552,0.834486,5.6
1.551,0.840621,5.6
1.547,0.846757,5.6
1.542,0.852893,5.6
1.537,0.859029,5.6
1.536,0.865165,5.6
1.535,0.871301,5.6
1.53,0.877437,5.6
1.53,0.883573,5.6
1.53,0.889709,5.6
1.523,0.895845,5.6
1.521,0.901981,5.6
1.52,0.908117,5.6
1.515,0.914253,5.6
1.515,0.920388,5.6
1.513,0.926524,5.6
1.513,0.93266,5.6
1.511,0.938796,5.6
1.509,0.944932,5.6
1.505,0.951068,5.6
1.5,0.957204,5.6
1.497,0.96334,5.6
1.496,0.969476,5.6
1.492,0.975612,5.6
1.492,0.981748,5.6
1.492,0.987884,5.6
1.489,0.99402,5.6
1.486,1.00016,5.6
1.485,1.00629,5.6
1.485,1.01243,5.6
1.489,1.01856,5.6
1.485,1.0247,5.6
1.488,1.03084,5.6
1.49,1.03697,5.6
1.49,1.04311,5.6
1.488,1.04924,5.6
1.488,1.05538,5.6
1.49,1.06151,5.6
1.483,1.06765,5.6
1.481,1.07379,5.6
1.482,1.07992,5.6
1.481,1.08606,5.6
1.478,1.09219,5.6
1.478,1.09833,5.6
1.478,1.10447,5.6
1.474,1.1106,5.6
1.474,1.11674,5.6
1.474,1.12287,5.6
1.474,1.12901,5.6
1.474,1.13515,5.6
1.476,1.14128,5.6
