l, theta
3.578,0.638136
3.528,0.644272
3.457,0.650408
3.457,0.656544
3.42,0.66268
3.333,0.668816
3.333,0.674952
2.57,0.681087
2.554,0.687223
2.554,0.693359
2.497,0.699495
2.483,0.705631
2.461,0.711767
2.439,0.717903
2.434,0.724039
2.419,0.730175
2.416,0.736311
2.403,0.742447
2.391,0.748583
2.363,0.754719
2.361,0.760854
2.352,0.76699
2.33,0.773126
2.308,0.779262
2.282,0.785398
2.282,0.791534
2.264,0.79767
2.261,0.803806
2.24,0.809942
2.222,0.816078
2.22,0.822214
2.206,0.82835
2.182,0.834486
2.167,0.840621
2.153,0.846757
2.145,0.852893
2.132,0.859029
2.113,0.865165
2.091,0.871301
2.088,0.877437
2.072,0.883573
2.062,0.889709
2.058,0.895845
2.041,0.901981
2.027,0.908117
2.02,0.914253
2.004,0.920388
1.991,0.926524
1.987,0.93266
1.979,0.938796
1.961,0.944932
1.953,0.951068
1.945,0.957204
1.937,0.96334
1.924,0.969476
1.916,0.975612
1.906,0.981748
1.892,0.987884
1.881,0.99402
1.876,1.00016
1.869,1.00629
1.858,1.01243
1.853,1.01856
1.807,1.0247
1.783,1.03084
1.765,1.03697
1.763,1.04311
1.763,1.04924
1.763,1.05538
1.783,1.06151
1.783,1.06765
1.783,1.07379
1.777,1.07992
1.766,1.08606
1.764,1.09219
1.75,1.09833
1.741,1.10447
1.735,1.1106
1.735,1.11674
1.728,1.12287
1.723,1.12901
1.718,1.13515
1.71,1.14128
1.706,1.14742
1.696,1.15355
1.686,1.15969
1.684,1.16583
1.675,1.17196
1.674,1.1781
1.674,1.18423
1.666,1.19037
1.659,1.19651
1.657,1.20264
1.65,1.20878
1.637,1.21491
1.633,1.22105
1.629,1.22718
1.628,1.23332
1.623,1.23946
1.621,1.24559
1.613,1.25173
1.606,1.25786
1.601,1.264
1.6,1.27014
1.596,1.27627
1.591,1.28241
1.59,1.28854
1.588,1.29468
1.578,1.30082
1.577,1.30695
1.569,1.31309
1.567,1.31922
1.565,1.32536
1.562,1.3315
1.556,1.33763
1.552,1.34377
1.548,1.3499
1.548,1.35604
1.545,1.36217
1.543,1.36831
1.543,1.37445
1.532,1.38058
1.531,1.38672
1.529,1.39285
1.528,1.39899
1.522,1.40513
1.521,1.41126
1.518,1.4174
1.512,1.42353
1.507,1.42967
1.507,1.43581
1.503,1.44194
1.507,1.44808
1.505,1.45421
1.503,1.46035
1.502,1.46649
1.5,1.47262
1.499,1.47876
1.49,1.48489
1.489,1.49103
1.489,1.49717
1.487,1.5033
1.487,1.50944
1.487,1.51557
1.487,1.52171
1.485,1.52784
1.485,1.53398
1.481,1.54012
1.478,1.54625
1.48,1.55239
1.478,1.55852
1.478,1.56466
1.476,1.5708
1.474,1.57693
1.474,1.58307
1.474,1.5892
1.473,1.59534
1.467,1.60148
1.457,1.60761
1.437,1.61375
1.431,1.61988
1.424,1.62602
1.424,1.63216
1.424,1.63829
1.425,1.64443
1.429,1.65056
1.433,1.6567
1.453,1.66284
1.467,1.66897
1.474,1.67511
1.476,1.68124
1.476,1.68738
1.477,1.69351
1.477,1.69965
1.477,1.70579
1.477,1.71192
1.477,1.71806
1.478,1.72419
1.478,1.73033
1.478,1.73647
1.478,1.7426
1.479,1.74874
1.479,1.75487
1.485,1.76101
1.485,1.76715
1.485,1.77328
1.488,1.77942
1.49,1.78555
1.493,1.79169
1.493,1.79783
1.495,1.80396
1.5,1.8101
1.5,1.81623
1.502,1.82237
1.502,1.82851
1.502,1.83464
1.509,1.84078
1.509,1.84691
